"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"84-LA6-G1","Obligatoria","Métodos Numéricos","1","A(2014)","6","3","Regular","6","MEFI","Miguel Ángel","Can Ek","Coord. LM","","","","27","","","27","17:00 - 18:30","CC8","","","","","","","13:00 - 14:30","CC1","","","","",""
"86-","Obligatoria","Prácticas Profesionales","","M(2011)","6","1.5","Ordinario","8","MEYA","Óscar Iván","Muñoz Carballo","Coord. LM","","","","","","20","20","","","","","11:00 - 12:30","Cubículo","","","","","","","","",""
"87-","Obligatoria","Servicio Social","","M(2011)","8","1.5","Ordinario","12","MEYA","Óscar Iván","Muñoz Carballo","Coord. LM","","","","","","25","25","","","","","","","13:30 - 15:00","Cubículo","","","","","","",""
"88-LM2","Obligatoria","Software para Matemáticas","","M(2024)","2","3","Regular/Recursamiento","5","MEFI","Miguel Ángel","Can Ek","Coord. LM","","","","","","40","40","","","09:00 - 10:30","CC1","","","09:00 - 10:30","CC1","","","","","","",""
"89-LM6-G1+LM8-G1","Optativa","Análisis Funcional","","M(2011)","6","4.5","Ordinario","9","MEYA","Omar","Muñiz Pérez","Coord. LM","","","","","","30","30","18:00 - 19:30","C3","","","13:30 - 15:00","C6","","","17:30 - 19:00","C2","","","","",""
"90-LM2-G1+LM4-G1","Optativa","Combinatoria Enumerativa ","","M(2011)-M(2024)","3,2","4.5","Regular","9","MEYA-MEFI","Pedro David ","Sánchez Salazar","Coord. LM","","","","","","30","30","07:30 - 09:00","H2","10:30 - 12:00","C3","","","10:30 - 12:00","D2","","","","","","",""
"91-LM2-G2+LM4-G2","Optativa","Introducción a la Teoría de Nudos","","M(2011)-M(2024)","2","4.5","Regular","9","MEYA-MEFI","Luis Celso ","Chan Palomo","Coord. LM","","","","","","20","20","07:30 - 09:00","C9","10:30 - 12:00","C2","","","10:30 - 12:00","C1","","","","","","",""
"92-LM6-G2+LM8-G2","Optativa","Introducción a las álgebras de Lie","","M(2011)","6","4.5","Ordinario","9","MEYA","Ma. Isabel","Hernández","Coord. LM","","","","","","25","25","18:00 - 19:30","D2","","","13:30 - 15:00","H1","","","17:30 - 19:00","C1","","","","",""
"100-LM6","Obligatoria","Análisis Matemático ","","M(2011)","6","4.5","Ordinario","9","MEYA","Ángel Gabriel","Estrella González","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","","25","25","13:30 - 15:00","H7","","","","","13:30 - 15:00","D4","13:30 - 15:00","C10","","","","",""
"101-LEM1-Acompañamiento","Obligatoria","Didáctica del Álgebra","","E(2013)","1","2.5","Acompañamiento","10","MEFI","Eddie de Jesús","Aparicio Landa","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","20","","20","12:00 - 14:30","C1","","","","","","","","","","","","",""
"102-LEM4","Obligatoria","Didáctica del Cálculo","","E(2013)","4","5","Regular","10","MEFI","Eddie de Jesús","Aparicio Landa","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","30","","30","07:30 - 09:30","C4","07:30 - 09:00","C1","07:30 - 09:00","C4","","","","","","","","",""
"103-LCC5-Acompañamiento+LIC5-Acompañamiento","Obligatoria","Ecuaciones Diferenciales","","IC(2013)-CC(2016)","5","2.5","Acompañamiento","8","MEFI","Felipe de Jesús","Rosado Vázquez","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","10","5","","","","","15","","","","","","","","","09:00 - 11:30","D1","","","","",""
"104-LA4-G2+LA4-G3","Obligatoria","Ecuaciones Diferenciales","2","A(2014)","4","4","Regular","8","MEFI","Alejandro","Argáez García","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","35","","","35","07:30 - 09:30","H6","08:00 - 10:00","H6","","","","","","","","","","",""
